"Taux de pauvrete total","Taux de pauvrete > 30 ","Taux de pauvrete 30 - 39","Taux de pauvrete 40 - 49","Taux de pauvrete 50 -59","Taux de pauvrete 60 -74","Taux de pauvrete => 75","part_actifs_stables : ","PDDT tec","esperance de vie homme"," part des vehicules criticair 1 essence","Moy_dist_km_actif","Moy_dist_min_actif"," Emission en equivalent CO2 pour le methane","nombre de personnes en logement social","part des foyers fiscaux imposés","accessiblité potentielle au medecins generalistes","revenu fiscal median declaré par unité","esperance de vie des femmr"
11.8,16.9,14,13.3,11,8.1,6.9,18.2,26.97,80.1,117600,28.2089085100302,36.4166258482205,NA,241889.482864385,61.4,2.49335072414621,23790,85.2
9.7,15,11.7,11,9.2,6.9,5.3,19.27,32.15,81.8,159448,22.071501997047,34.5657816131831,NA,286652.041312233,69.4,2.58885712597241,28150,86.5
12.3,19.8,13.8,13.2,11.8,8.6,11.6,36.61,2.31,79.2,23261,18.4187839629286,20.0000696418032,NA,27527.2170122582,45.1,3.09707116937321,20480,85.6
16.4,28.3,19.6,18.6,15.9,10.5,9.5,34.33,6.37,77.6,41480,21.9902356605202,23.5146208710847,NA,83844.5935687016,46.2,4.29437801882436,19980,83.9
15.6,25.6,18.4,17.7,15.6,11.1,12.2,37.12,3.26,79.6,27878,22.3972974338556,22.6173521565531,NA,25007.7486955998,42.8,3.51404860493968,19880,85.6
17,24.3,19.1,18.8,17.1,12.6,14.3,38.91,2.68,79.7,14879,24.1370660772813,22.8223973696463,NA,16837.012542803,42.6,3.27046131843216,19560,85.4
15.6,23.2,19,18.4,16.2,12.1,9.8,44.33,5.52,79.8,121140,24.5795758341081,25.4951994281983,NA,99633.2457791663,51.4,3.73721197273119,21690,85.6
20,26.7,23.6,23.6,19.6,16.3,12.3,39.29,3.65,79.5,47955,22.9304478257634,22.8412758255034,NA,74920.5628427514,44.9,3.51450164101932,19420,85.4
9.2,12.4,9.7,10.5,10.1,6.3,8.7,35.09,1.58,79.3,51121,20.7517793947619,20.5692468607276,NA,40714.8002710581,47.4,3.09983278214482,21040,85.6
14.3,27.8,16.5,15.1,13.7,9.2,10.9,33.72,4.71,79.6,30826,21.300939141579,21.2033951068646,NA,44201.9987677709,46.6,3.9586730273135,20610,85.8
15.5,28.7,19.6,17.4,14.7,10,11,43.84,4.87,79,30544,18.8448908533454,21.5869970107345,NA,46986.4578683832,47.3,4.2900626114504,20700,85.9
15.4,24.9,19.3,18.7,15.7,10.2,8.9,32.29,2.48,77.7,28161,21.0570385553965,20.7768565381058,NA,40342.8559815971,43.2,3.4716563149721,19830,84.3
14.5,21,18,17.7,15.2,9.7,7.9,31.42,5.12,77.8,22118,23.9533647069905,24.0543618524697,NA,40138.8737099346,48.5,2.54497298433482,20530,84.2
14.5,22.9,17.7,17.2,13.9,9.4,8,27.02,7.21,78.9,14035,19.3050804006695,19.8104611996255,NA,25924.0002598711,52.3,3.45570283315973,21890,84.3
13.1,18.4,16.2,15.5,12,8.4,5.5,18.47,28.39,81.3,123414,21.4132658136368,33.3190855928477,NA,272716.316241545,64.4,2.53328713310697,24580,86.1
11.9,14.7,11.1,13,12.4,11.2,8.1,20.99,47.99,82.4,148948,13.4280225524439,34.0768065256853,NA,432196.824304783,70.1,2.68457379786084,29950,86.5
28.4,30.3,29.4,32.8,29.5,23.2,16.1,19.99,51.88,79.7,71694,14.9414783433028,37.238475445584,NA,552942.438447054,47.2,2.87284739260497,16360,84.6
16.6,21.2,17.9,19.2,16.9,12.9,8.8,18.79,48.09,81,105872,15.5226773043586,36.1872908803289,NA,400549.864235136,62,2.64667696999257,23420,85.9
17.2,21.2,19.3,20.1,16.7,12.5,8.9,17.55,36.1,80.3,95319,20.582403036318,35.7939561861199,NA,299036.704202732,59.3,2.52328288758596,22030,85.2
NA,NA,NA,NA,NA,NA,NA,41.96,5.84,76.8,48208,10.577846935844,12.0475062758426,NA,60808.828737693,NA,2.69727834546023,NA,84.9
29.8,49.7,36.2,31.3,29.9,23.4,31.2,42.79,7.85,79.1,48112,10.6920817884302,15.9265669946977,NA,61222.3472329819,33.8,2.67204915184956,16260,84.6
NA,NA,NA,NA,NA,NA,NA,65.93,3.06,77.2,14158,8.99121954807278,9.00155114892051,NA,41166.7222048574,NA,2.02853066598446,NA,84.4
38.9,54.3,42.3,39.9,36.3,31,39.9,59.46,5.75,77.5,50367,11.3795812609341,14.9259674921226,NA,147303.745666954,28.3,4.67199798040787,12770,83.9
NA,NA,NA,NA,NA,NA,NA,52.38,22.09,74.8,3891,8.88413447890671,14.8120247721539,NA,NA,NA,NA,NA,76.8
